#{"t_start": 1765725402.6071446, "env_id": "Reacher-v5"}
r,l,t
-1.589876,50,687.032996
-1.111843,50,688.074283
-1.244842,50,688.99177
-1.620115,50,690.656118
-1.865968,50,692.168404
-1.944737,50,693.627424
-2.064892,50,694.929407
-1.823627,50,696.117752
-2.236799,50,697.134122
-2.403255,50,698.003143
-1.892461,50,698.86603
-2.334072,50,699.900226
-1.232217,50,701.005191
-1.423553,50,702.220954
-1.567788,50,703.352593
-1.380904,50,704.604315
-1.676152,50,705.811279
-1.292143,50,707.110258
-1.948083,50,708.172772
-1.238086,50,709.110898
-2.413206,50,710.022888
-1.208697,50,711.085869
-1.777894,50,711.959261
-1.991134,50,713.044434
-1.151816,50,714.037655
-1.578443,50,715.564991
-1.660956,50,716.720174
-1.660025,50,717.833497
-2.047013,50,718.888543
-1.891804,50,719.743595
-1.544694,50,720.610137
-2.417503,50,721.876347
-1.942871,50,723.245608
-2.237809,50,724.258976
-2.703484,50,725.119696
-1.025918,50,726.161454
-1.473218,50,727.207233
-1.863393,50,728.104767
-1.657239,50,728.954965
-2.350915,50,729.948082
-1.15582,50,730.799191
-2.780564,50,731.709018
-1.086031,50,733.040883
-2.393876,50,734.437961
-2.396294,50,735.770409
-1.351773,50,736.947731
-3.51237,50,737.871733
-2.385938,50,738.784287
-1.553271,50,739.917816
-2.171325,50,741.677794
-2.88546,50,742.806108
-1.393722,50,743.920104
-1.790509,50,744.86695
-1.580331,50,746.015795
-2.195948,50,747.212358
-1.610343,50,748.454467
-2.312971,50,749.711515
-1.719283,50,750.619403
-2.972707,50,751.655854
-1.925676,50,752.618517
-1.339094,50,753.734566
-1.182736,50,754.884773
-2.300863,50,755.798994
-2.083438,50,756.904238
-1.777644,50,757.762942
-1.619971,50,758.716943
-1.500007,50,759.686529
-1.300175,50,760.742411
-2.007476,50,762.259274
-1.477675,50,763.505029
-1.729322,50,764.377443
-1.496387,50,765.501561
-2.03823,50,766.708827
-2.097558,50,767.771439
-2.198765,50,768.655926
-1.034605,50,769.675913
-2.500015,50,770.652925
-1.237304,50,771.641693
-1.446562,50,772.558669
-1.686997,50,773.728718
-1.078983,50,774.825168
-1.288226,50,775.686636
-1.98951,50,776.634501
-1.441429,50,777.802381
-2.207214,50,779.137797
-2.245363,50,780.173526
-1.670063,50,781.547022
-1.432956,50,782.594496
-0.884738,50,784.054288
-1.343103,50,785.205388
-1.871174,50,786.342129
-1.955964,50,789.357958
-2.643718,50,790.879907
-1.677125,50,792.740019
-1.896196,50,794.165237
-1.661218,50,796.141032
-1.683574,50,797.364719
-1.42121,50,798.465853
-1.522137,50,799.618593
-1.951102,50,800.981246
-1.947901,50,802.226637
-1.309001,50,804.168057
-1.960146,50,805.368268
-1.128484,50,806.893112
-1.833824,50,808.639868
-1.251943,50,809.625137
-2.005361,50,810.940912
-1.77946,50,812.862679
-1.666007,50,815.632564
-1.949431,50,817.213951
-1.869417,50,818.267145
-1.587081,50,819.334422
-1.474463,50,821.57352
-1.881863,50,822.606697
-1.057787,50,823.610011
-1.239761,50,825.333658
-1.846739,50,831.215566
-1.371089,50,836.681129
-2.224034,50,840.036475
-1.300308,50,841.574776
-1.444381,50,842.561541
-1.59875,50,843.776874
-1.954787,50,844.952594
-1.954032,50,846.125552
-1.12761,50,847.24047
-1.801098,50,848.196625
-1.545547,50,849.166179
-1.859904,50,850.351868
-1.051802,50,851.458179
-2.20257,50,853.141234
-1.068922,50,854.665626
-1.566504,50,856.000228
-1.699429,50,857.144042
-1.61087,50,858.900294
-1.371148,50,860.385996
-1.5302,50,864.342042
-0.950445,50,865.818266
-1.700968,50,867.360752
-1.574928,50,868.33651
-1.651149,50,869.383864
-1.373006,50,870.745089
-1.838182,50,871.853266
