#{"t_start": 1765929090.221403, "env_id": "Reacher-v5"}
r,l,t
132.380732,50,66.721576
234.374462,50,66.848885
140.510873,50,66.976459
139.167762,50,67.106086
186.263942,50,67.233623
102.370688,50,67.361167
171.569726,50,67.488613
129.410964,50,67.617797
97.177426,50,67.745942
202.409898,50,67.873625
136.690035,50,68.001005
163.582212,50,68.130809
235.823635,50,68.258786
264.939888,50,68.386382
323.308614,50,68.51401
211.788348,50,68.644601
274.321266,50,68.772159
244.297477,50,68.899275
260.712282,50,69.026546
191.054836,50,69.157846
171.966969,50,69.285701
236.48572,50,69.413556
299.595812,50,69.541034
234.497364,50,69.670859
132.587256,50,69.798129
301.660171,50,69.925403
276.716982,50,70.052543
194.762639,50,70.184788
171.320332,50,70.312259
405.48895,50,70.439482
175.515657,50,70.567789
157.617037,50,70.698022
230.601641,50,70.82552
299.981971,50,70.95316
231.620072,50,71.080487
246.258176,50,71.210209
209.418831,50,71.338115
144.400664,50,71.465487
212.985528,50,71.592988
310.158057,50,71.722622
358.512444,50,71.850458
301.894436,50,71.977857
204.158069,50,72.105293
146.852125,50,72.234622
104.469989,50,72.362202
168.926496,50,72.489908
268.161194,50,72.6175
265.340754,50,72.747315
233.737398,50,72.87479
225.262581,50,73.002192
47.605076,50,73.130067
267.902099,50,73.259804
197.119516,50,73.387331
84.132918,50,73.514455
219.32324,50,73.641493
249.976478,50,73.771119
143.669305,50,73.898392
231.445682,50,74.026062
370.125178,50,74.153353
197.798394,50,74.282757
147.801542,50,74.410007
312.490577,50,74.538433
273.963643,50,74.665895
287.457462,50,74.795757
190.429868,50,74.923486
305.266627,50,75.050877
185.264805,50,75.177518
261.636495,50,75.319628
116.839992,50,75.447278
385.567446,50,75.574429
232.779861,50,75.701622
43.601004,50,75.831658
276.457782,50,75.959576
250.806722,50,76.086906
178.478258,50,76.214272
144.584466,50,76.343838
403.530837,50,76.471497
119.051757,50,76.598855
295.208131,50,76.726386
79.111437,50,76.856337
389.687608,50,76.98386
301.194252,50,77.111346
303.193763,50,77.238558
214.723121,50,77.368788
37.119365,50,77.496719
217.039882,50,77.624186
200.137822,50,77.75178
121.070984,50,77.881735
228.348331,50,78.009377
257.789368,50,78.136893
96.515873,50,78.2644
31.976447,50,78.394354
305.826975,50,78.522014
361.883063,50,78.649484
308.834884,50,78.77695
133.280455,50,78.906978
309.206355,50,79.034509
300.51437,50,79.161993
319.789742,50,79.289541
281.250645,50,79.419564
205.941117,50,79.546968
250.634043,50,79.674527
32.26347,50,79.802166
202.414434,50,79.933881
180.211917,50,80.061034
218.717163,50,80.188239
217.403295,50,80.315387
107.726407,50,80.444546
154.620389,50,80.572107
